ano,estado,familia,nota,falsificacoes
1995,PARANÁ,Cédulas - 1a. família,50,237
1995,RIO DE JANEIRO,Cédulas - 1a. família,50,3
1995,RIO DE JANEIRO,Cédulas - 1a. família,100,1
1995,SÃO PAULO,Cédulas - 1a. família,100,1
1996,DISTRITO FEDERAL,Cédulas - 1a. família,50,1
1996,DISTRITO FEDERAL,Cédulas - 1a. família,100,1
1996,MINAS GERAIS,Cédulas - 1a. família,50,4
1996,MINAS GERAIS,Cédulas - 1a. família,100,1
1996,PARANÁ,Cédulas - 1a. família,50,4
1996,PARANÁ,Cédulas - 1a. família,100,12
1996,PERNAMBUCO,Cédulas - 1a. família,50,2
1996,PERNAMBUCO,Cédulas - 1a. família,100,1
1996,RIO DE JANEIRO,Cédulas - 1a. família,5,2
1996,RIO DE JANEIRO,Cédulas - 1a. família,10,6.087
1996,RIO DE JANEIRO,Cédulas - 1a. família,50,7.988
1996,RIO DE JANEIRO,Cédulas - 1a. família,100,2.311
1996,RIO GRANDE DO SUL,Cédulas - 1a. família,10,1
1996,RIO GRANDE DO SUL,Cédulas - 1a. família,50,2
1996,RIO GRANDE DO SUL,Cédulas - 1a. família,100,2
1996,RONDÔNIA,Cédulas - 1a. família,100,2
1997,AMAPÁ,Cédulas - 1a. família,100,1
1997,BAHIA,Cédulas - 1a. família,5,2
1997,BAHIA,Cédulas - 1a. família,10,49
1997,BAHIA,Cédulas - 1a. família,50,14
1997,BAHIA,Cédulas - 1a. família,100,27
1997,CEARÁ,Cédulas - 1a. família,10,20
1997,CEARÁ,Cédulas - 1a. família,50,28
1997,CEARÁ,Cédulas - 1a. família,100,1
1997,DISTRITO FEDERAL,Cédulas - 1a. família,10,19
1997,DISTRITO FEDERAL,Cédulas - 1a. família,50,22
1997,DISTRITO FEDERAL,Cédulas - 1a. família,100,12
1997,GOIÁS,Cédulas - 1a. família,10,4
1997,GOIÁS,Cédulas - 1a. família,50,1
1997,MATO GROSSO DO SUL,Cédulas - 1a. família,50,8
1997,MINAS GERAIS,Cédulas - 1a. família,50,35
1997,MINAS GERAIS,Cédulas - 1a. família,100,58
1997,PARANÁ,Cédulas - 1a. família,50,4
1997,PARANÁ,Cédulas - 1a. família,100,1
1997,PERNAMBUCO,Cédulas - 1a. família,50,8
1997,PERNAMBUCO,Cédulas - 1a. família,100,4
1997,RIO DE JANEIRO,Cédulas - 1a. família,5,180
1997,RIO DE JANEIRO,Cédulas - 1a. família,10,16
1997,RIO DE JANEIRO,Cédulas - 1a. família,50,33
1997,RIO DE JANEIRO,Cédulas - 1a. família,100,73
1997,RIO GRANDE DO SUL,Cédulas - 1a. família,100,1
1997,RONDÔNIA,Cédulas - 1a. família,100,1
1997,SÃO PAULO,Cédulas - 1a. família,50,1
1997,TOCANTINS,Cédulas - 1a. família,100,1
1998,AMAPÁ,Cédulas - 1a. família,50,79
1998,AMAZONAS,Cédulas - 1a. família,5,13
1998,AMAZONAS,Cédulas - 1a. família,10,1
1998,AMAZONAS,Cédulas - 1a. família,50,364
1998,AMAZONAS,Cédulas - 1a. família,100,3
1998,CEARÁ,Cédulas - 1a. família,5,5
1998,CEARÁ,Cédulas - 1a. família,10,26
1998,CEARÁ,Cédulas - 1a. família,50,69
1998,CEARÁ,Cédulas - 1a. família,100,49
1998,DISTRITO FEDERAL,Cédulas - 1a. família,100,1
1998,ESPÍRITO SANTO,Cédulas - 1a. família,10,918
1998,ESPÍRITO SANTO,Cédulas - 1a. família,50,55
1998,GOIÁS,Cédulas - 1a. família,10,83
1998,GOIÁS,Cédulas - 1a. família,100,1
1998,MATO GROSSO,Cédulas - 1a. família,10,1
1998,MATO GROSSO,Cédulas - 1a. família,50,6
1998,MINAS GERAIS,Cédulas - 1a. família,10,42
1998,MINAS GERAIS,Cédulas - 1a. família,50,22
1998,MINAS GERAIS,Cédulas - 1a. família,100,7
1998,PARÁ,Cédulas - 1a. família,50,1
1998,PARANÁ,Cédulas - 1a. família,10,475
1998,PARANÁ,Cédulas - 1a. família,50,338
1998,PARANÁ,Cédulas - 1a. família,100,3
1998,PERNAMBUCO,Cédulas - 1a. família,10,689
1998,PERNAMBUCO,Cédulas - 1a. família,50,3
1998,PERNAMBUCO,Cédulas - 1a. família,100,1
1998,PIAUÍ,Cédulas - 1a. família,50,6
1998,PIAUÍ,Cédulas - 1a. família,100,1
1998,RIO DE JANEIRO,Cédulas - 1a. família,5,13
1998,RIO DE JANEIRO,Cédulas - 1a. família,10,223
1998,RIO DE JANEIRO,Cédulas - 1a. família,50,220
1998,RIO DE JANEIRO,Cédulas - 1a. família,100,627
1998,RIO GRANDE DO NORTE,Cédulas - 1a. família,10,3
1998,RIO GRANDE DO SUL,Cédulas - 1a. família,50,3
1998,RIO GRANDE DO SUL,Cédulas - 1a. família,100,3
1998,RONDÔNIA,Cédulas - 1a. família,50,6
1998,RONDÔNIA,Cédulas - 1a. família,100,4
1998,SANTA CATARINA,Cédulas - 1a. família,5,32
1998,SANTA CATARINA,Cédulas - 1a. família,10,1.016
1998,SANTA CATARINA,Cédulas - 1a. família,50,791
1998,SANTA CATARINA,Cédulas - 1a. família,100,347
1998,SÃO PAULO,Cédulas - 1a. família,5,9
1998,SÃO PAULO,Cédulas - 1a. família,10,35
1998,SÃO PAULO,Cédulas - 1a. família,50,207
1998,SÃO PAULO,Cédulas - 1a. família,100,56
1998,TOCANTINS,Cédulas - 1a. família,50,11
1998,TOCANTINS,Cédulas - 1a. família,100,6
1999,ACRE,Cédulas - 1a. família,10,10
1999,ACRE,Cédulas - 1a. família,50,49
1999,ACRE,Cédulas - 1a. família,100,2
1999,ALAGOAS,Cédulas - 1a. família,5,11
1999,ALAGOAS,Cédulas - 1a. família,10,67
1999,ALAGOAS,Cédulas - 1a. família,50,105
1999,ALAGOAS,Cédulas - 1a. família,100,3
1999,AMAPÁ,Cédulas - 1a. família,10,46
1999,AMAPÁ,Cédulas - 1a. família,50,5
1999,AMAZONAS,Cédulas - 1a. família,5,5
1999,AMAZONAS,Cédulas - 1a. família,10,41
1999,AMAZONAS,Cédulas - 1a. família,50,136
1999,AMAZONAS,Cédulas - 1a. família,100,121
1999,BAHIA,Cédulas - 1a. família,5,83
1999,BAHIA,Cédulas - 1a. família,10,570
1999,BAHIA,Cédulas - 1a. família,50,164
1999,BAHIA,Cédulas - 1a. família,100,8
1999,CEARÁ,Cédulas - 1a. família,5,45
1999,CEARÁ,Cédulas - 1a. família,10,90
1999,CEARÁ,Cédulas - 1a. família,50,136
1999,CEARÁ,Cédulas - 1a. família,100,9
1999,DISTRITO FEDERAL,Cédulas - 1a. família,5,68
1999,DISTRITO FEDERAL,Cédulas - 1a. família,10,113
1999,DISTRITO FEDERAL,Cédulas - 1a. família,50,4.505
1999,DISTRITO FEDERAL,Cédulas - 1a. família,100,827
1999,ESPÍRITO SANTO,Cédulas - 1a. família,5,18
1999,ESPÍRITO SANTO,Cédulas - 1a. família,10,252
1999,ESPÍRITO SANTO,Cédulas - 1a. família,50,582
1999,ESPÍRITO SANTO,Cédulas - 1a. família,100,9
1999,GOIÁS,Cédulas - 1a. família,5,59
1999,GOIÁS,Cédulas - 1a. família,10,549
1999,GOIÁS,Cédulas - 1a. família,50,212
1999,GOIÁS,Cédulas - 1a. família,100,11
1999,MARANHÃO,Cédulas - 1a. família,5,4
1999,MARANHÃO,Cédulas - 1a. família,10,63
1999,MARANHÃO,Cédulas - 1a. família,50,69
1999,MARANHÃO,Cédulas - 1a. família,100,1
1999,MATO GROSSO,Cédulas - 1a. família,5,4
1999,MATO GROSSO,Cédulas - 1a. família,10,94
1999,MATO GROSSO,Cédulas - 1a. família,50,126
1999,MATO GROSSO,Cédulas - 1a. família,100,13
1999,MATO GROSSO DO SUL,Cédulas - 1a. família,5,2
1999,MATO GROSSO DO SUL,Cédulas - 1a. família,10,501
1999,MATO GROSSO DO SUL,Cédulas - 1a. família,50,1.014
1999,MATO GROSSO DO SUL,Cédulas - 1a. família,100,33
1999,MINAS GERAIS,Cédulas - 1a. família,1,11
1999,MINAS GERAIS,Cédulas - 1a. família,5,79
1999,MINAS GERAIS,Cédulas - 1a. família,10,800
1999,MINAS GERAIS,Cédulas - 1a. família,50,740
1999,MINAS GERAIS,Cédulas - 1a. família,100,30
1999,PARÁ,Cédulas - 1a. família,5,1
1999,PARÁ,Cédulas - 1a. família,10,103
1999,PARÁ,Cédulas - 1a. família,50,85
1999,PARÁ,Cédulas - 1a. família,100,8
1999,PARAÍBA,Cédulas - 1a. família,5,14
1999,PARAÍBA,Cédulas - 1a. família,10,16
1999,PARAÍBA,Cédulas - 1a. família,50,49
1999,PARAÍBA,Cédulas - 1a. família,100,1
1999,PARANÁ,Cédulas - 1a. família,5,41
1999,PARANÁ,Cédulas - 1a. família,10,225
1999,PARANÁ,Cédulas - 1a. família,50,444
1999,PARANÁ,Cédulas - 1a. família,100,74
1999,PERNAMBUCO,Cédulas - 1a. família,1,4
1999,PERNAMBUCO,Cédulas - 1a. família,5,34
1999,PERNAMBUCO,Cédulas - 1a. família,10,328
1999,PERNAMBUCO,Cédulas - 1a. família,50,85
1999,PERNAMBUCO,Cédulas - 1a. família,100,7
1999,PIAUÍ,Cédulas - 1a. família,5,4
1999,PIAUÍ,Cédulas - 1a. família,10,60
1999,PIAUÍ,Cédulas - 1a. família,50,37
1999,PIAUÍ,Cédulas - 1a. família,100,1
1999,RIO DE JANEIRO,Cédulas - 1a. família,5,162
1999,RIO DE JANEIRO,Cédulas - 1a. família,10,1.621
1999,RIO DE JANEIRO,Cédulas - 1a. família,50,2.229
1999,RIO DE JANEIRO,Cédulas - 1a. família,100,45
1999,RIO GRANDE DO NORTE,Cédulas - 1a. família,5,3
1999,RIO GRANDE DO NORTE,Cédulas - 1a. família,10,71
1999,RIO GRANDE DO NORTE,Cédulas - 1a. família,50,22
1999,RIO GRANDE DO NORTE,Cédulas - 1a. família,100,5
1999,RIO GRANDE DO SUL,Cédulas - 1a. família,5,22
1999,RIO GRANDE DO SUL,Cédulas - 1a. família,10,256
1999,RIO GRANDE DO SUL,Cédulas - 1a. família,50,244
1999,RIO GRANDE DO SUL,Cédulas - 1a. família,100,38
1999,RONDÔNIA,Cédulas - 1a. família,1,1
1999,RONDÔNIA,Cédulas - 1a. família,5,1
1999,RONDÔNIA,Cédulas - 1a. família,10,97
1999,RONDÔNIA,Cédulas - 1a. família,50,122
1999,RONDÔNIA,Cédulas - 1a. família,100,14
1999,RORAIMA,Cédulas - 1a. família,10,1
1999,RORAIMA,Cédulas - 1a. família,50,7
1999,RORAIMA,Cédulas - 1a. família,100,1
1999,SANTA CATARINA,Cédulas - 1a. família,5,6
1999,SANTA CATARINA,Cédulas - 1a. família,10,94
1999,SANTA CATARINA,Cédulas - 1a. família,50,200
1999,SANTA CATARINA,Cédulas - 1a. família,100,7
1999,SÃO PAULO,Cédulas - 1a. família,1,4
1999,SÃO PAULO,Cédulas - 1a. família,5,193
1999,SÃO PAULO,Cédulas - 1a. família,10,6.465
1999,SÃO PAULO,Cédulas - 1a. família,50,2.674
1999,SÃO PAULO,Cédulas - 1a. família,100,295
1999,SERGIPE,Cédulas - 1a. família,10,8
1999,SERGIPE,Cédulas - 1a. família,50,4
1999,TOCANTINS,Cédulas - 1a. família,5,4
1999,TOCANTINS,Cédulas - 1a. família,10,119
1999,TOCANTINS,Cédulas - 1a. família,50,21
1999,TOCANTINS,Cédulas - 1a. família,100,7
2000,ACRE,Cédulas - 1a. família,10,25
2000,ACRE,Cédulas - 1a. família,50,136
2000,ACRE,Cédulas - 1a. família,100,15
2000,ALAGOAS,Cédulas - 1a. família,1,4
2000,ALAGOAS,Cédulas - 1a. família,5,104
2000,ALAGOAS,Cédulas - 1a. família,10,1.344
2000,ALAGOAS,Cédulas - 1a. família,50,882
2000,ALAGOAS,Cédulas - 1a. família,100,101
2000,AMAPÁ,Cédulas - 1a. família,10,6
2000,AMAPÁ,Cédulas - 1a. família,50,4
2000,AMAZONAS,Cédulas - 1a. família,5,76
2000,AMAZONAS,Cédulas - 1a. família,10,810
2000,AMAZONAS,Cédulas - 1a. família,50,702
2000,AMAZONAS,Cédulas - 1a. família,100,220
2000,BAHIA,Cédulas - 1a. família,1,13
2000,BAHIA,Cédulas - 1a. família,5,851
2000,BAHIA,Cédulas - 1a. família,10,8.202
2000,BAHIA,Cédulas - 1a. família,50,4.238
2000,BAHIA,Cédulas - 1a. família,100,110
2000,CEARÁ,Cédulas - 1a. família,1,3
2000,CEARÁ,Cédulas - 1a. família,5,403
2000,CEARÁ,Cédulas - 1a. família,10,1.609
2000,CEARÁ,Cédulas - 1a. família,50,1.300
2000,CEARÁ,Cédulas - 1a. família,100,42
2000,DISTRITO FEDERAL,Cédulas - 1a. família,1,8
2000,DISTRITO FEDERAL,Cédulas - 1a. família,5,411
2000,DISTRITO FEDERAL,Cédulas - 1a. família,10,2.939
2000,DISTRITO FEDERAL,Cédulas - 1a. família,50,4.359
2000,DISTRITO FEDERAL,Cédulas - 1a. família,100,212
2000,ESPÍRITO SANTO,Cédulas - 1a. família,1,4
2000,ESPÍRITO SANTO,Cédulas - 1a. família,5,84
2000,ESPÍRITO SANTO,Cédulas - em polímero,10,1
2000,ESPÍRITO SANTO,Cédulas - 1a. família,10,824
2000,ESPÍRITO SANTO,Cédulas - 1a. família,50,1.305
2000,ESPÍRITO SANTO,Cédulas - 1a. família,100,19
2000,GOIÁS,Cédulas - 1a. família,1,1
2000,GOIÁS,Cédulas - 1a. família,5,225
2000,GOIÁS,Cédulas - 1a. família,10,2.926
2000,GOIÁS,Cédulas - 1a. família,50,3.240
2000,GOIÁS,Cédulas - 1a. família,100,147
2000,MARANHÃO,Cédulas - 1a. família,1,1
2000,MARANHÃO,Cédulas - 1a. família,5,45
2000,MARANHÃO,Cédulas - 1a. família,10,737
2000,MARANHÃO,Cédulas - 1a. família,50,592
2000,MARANHÃO,Cédulas - 1a. família,100,19
2000,MATO GROSSO,Cédulas - 1a. família,5,22
2000,MATO GROSSO,Cédulas - 1a. família,10,313
2000,MATO GROSSO,Cédulas - 1a. família,50,1.374
2000,MATO GROSSO,Cédulas - 1a. família,100,65
2000,MATO GROSSO DO SUL,Cédulas - 1a. família,5,16
2000,MATO GROSSO DO SUL,Cédulas - 1a. família,10,531
2000,MATO GROSSO DO SUL,Cédulas - 1a. família,50,3.199
2000,MATO GROSSO DO SUL,Cédulas - 1a. família,100,64
2000,MINAS GERAIS,Cédulas - 1a. família,1,8
2000,MINAS GERAIS,Cédulas - 1a. família,5,1.558
2000,MINAS GERAIS,Cédulas - em polímero,10,2
2000,MINAS GERAIS,Cédulas - 1a. família,10,15.322
2000,MINAS GERAIS,Cédulas - 1a. família,50,13.828
2000,MINAS GERAIS,Cédulas - 1a. família,100,359
2000,PARÁ,Cédulas - 1a. família,1,4
2000,PARÁ,Cédulas - 1a. família,5,193
2000,PARÁ,Cédulas - 1a. família,10,690
